GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
WhiteBox,org.example,ControlFlowExample,0,13,0,4,0,6,0,4,0,2
WhiteBox,org.example,Main,7,0,0,0,3,0,2,0,2,0
WhiteBox,org.example,DataFlowExample,0,9,0,0,0,3,0,2,0,2
WhiteBox,org.example,Calculator,0,11,0,0,0,3,0,3,0,3
WhiteBox,org.example,MutationExample,0,11,0,2,0,2,0,3,0,2
WhiteBox,org.example,BankAccount,5,117,1,7,1,27,1,10,0,7
WhiteBox,org.example,LoopExample,0,18,0,2,0,5,0,3,0,2
WhiteBox,org.example,StaticAnalysisExample,6,0,0,0,3,0,2,0,2,0
WhiteBox,org.example.bank,Bank,60,0,6,0,14,0,7,0,4,0
WhiteBox,org.example.bank,Transaction,9,12,0,0,3,5,3,1,3,1
